,Product_Code,Warehouse,Product_Category,Date,Returns,month_year,year
77,Product_0308,Whse_A,Category_024,2017-09-03,20.0,2017-09,2017
78,Product_0311,Whse_A,Category_024,2017-09-03,57.0,2017-09,2017
79,Product_1816,Whse_A,Category_031,2017-09-03,5.0,2017-09,2017
80,Product_1837,Whse_A,Category_031,2017-09-03,5.0,2017-09,2017
81,Product_0190,Whse_A,Category_007,2017-02-02,375.0,2017-02,2017
82,Product_0230,Whse_A,Category_007,2017-05-08,250.0,2017-05,2017
83,Product_1616,Whse_A,Category_024,2017-01-31,1.0,2017-01,2017
84,Product_1053,Whse_A,Category_024,2017-02-02,3.0,2017-02,2017
85,Product_2168,Whse_A,Category_024,2017-05-08,26.0,2017-05,2017
86,Product_0311,Whse_A,Category_024,2017-06-12,6.0,2017-06,2017
87,Product_2165,Whse_A,Category_024,2017-08-09,10.0,2017-08,2017
88,Product_2132,Whse_A,Category_009,2016-12-06,42.0,2016-12,2016
89,Product_0495,Whse_A,Category_015,2017-06-18,6.0,2017-06,2017
90,Product_1776,Whse_A,Category_010,2017-06-14,10.0,2017-06,2017
91,Product_2039,Whse_A,Category_011,2017-06-14,1.0,2017-06,2017
92,Product_0471,Whse_A,Category_015,2016-12-16,1.0,2016-12,2016
93,Product_0495,Whse_A,Category_015,2017-02-02,1.0,2017-02,2017
94,Product_0505,Whse_A,Category_015,2017-06-15,13.0,2017-06,2017
95,Product_0471,Whse_A,Category_015,2017-06-22,25.0,2017-06,2017
96,Product_0471,Whse_A,Category_015,2017-10-11,15.0,2017-10,2017
97,Product_0301,Whse_A,Category_015,2017-11-02,36.0,2017-11,2017
98,Product_0442,Whse_A,Category_015,2017-11-02,8.0,2017-11,2017
99,Product_0505,Whse_A,Category_015,2017-11-02,10.0,2017-11,2017
100,Product_0206,Whse_A,Category_007,2017-02-15,57.0,2017-02,2017
101,Product_0200,Whse_A,Category_007,2017-03-14,1124.0,2017-03,2017
102,Product_0213,Whse_A,Category_007,2017-03-14,400.0,2017-03,2017
103,Product_0209,Whse_A,Category_007,2017-03-22,46.0,2017-03,2017
104,Product_0250,Whse_A,Category_007,2017-04-24,28.0,2017-04,2017
105,Product_0208,Whse_A,Category_007,2017-06-14,50.0,2017-06,2017
106,Product_0200,Whse_A,Category_007,2017-06-22,1104.0,2017-06,2017
107,Product_0211,Whse_A,Category_007,2017-06-22,805.0,2017-06,2017
108,Product_0202,Whse_A,Category_007,2017-10-09,500.0,2017-10,2017
109,Product_0200,Whse_A,Category_007,2017-10-11,3400.0,2017-10,2017
110,Product_0202,Whse_A,Category_007,2017-10-11,1800.0,2017-10,2017
111,Product_0211,Whse_A,Category_007,2017-10-11,4000.0,2017-10,2017
112,Product_2123,Whse_A,Category_009,2017-03-06,1515.0,2017-03,2017
113,Product_2132,Whse_A,Category_009,2017-03-06,3030.0,2017-03,2017
114,Product_2138,Whse_A,Category_009,2017-03-06,1515.0,2017-03,2017
115,Product_2144,Whse_A,Category_009,2017-03-06,1212.0,2017-03,2017
116,Product_2130,Whse_A,Category_009,2017-03-22,20.0,2017-03,2017
117,Product_2128,Whse_A,Category_009,2017-06-14,20.0,2017-06,2017
118,Product_2111,Whse_A,Category_009,2017-06-21,1260.0,2017-06,2017
119,Product_2138,Whse_A,Category_009,2017-09-17,100.0,2017-09,2017
120,Product_2132,Whse_A,Category_009,2017-11-29,500.0,2017-11,2017
121,Product_0487,Whse_A,Category_013,2017-11-02,36.0,2017-11,2017
122,Product_2055,Whse_A,Category_021,2017-01-17,10.0,2017-01,2017
123,Product_2052,Whse_A,Category_021,2017-03-22,5.0,2017-03,2017
124,Product_0120,Whse_A,Category_021,2017-04-24,2200.0,2017-04,2017
125,Product_0131,Whse_A,Category_021,2017-06-14,3.0,2017-06,2017
126,Product_0133,Whse_A,Category_021,2017-06-14,13.0,2017-06,2017
127,Product_0347,Whse_A,Category_021,2017-06-14,25.0,2017-06,2017
128,Product_2052,Whse_A,Category_021,2017-06-14,4.0,2017-06,2017
129,Product_0123,Whse_A,Category_021,2017-06-22,330.0,2017-06,2017
130,Product_0330,Whse_A,Category_021,2017-06-22,54.0,2017-06,2017
131,Product_2056,Whse_A,Category_021,2017-06-22,47.0,2017-06,2017
132,Product_0349,Whse_A,Category_021,2017-10-09,40.0,2017-10,2017
133,Product_0120,Whse_A,Category_021,2017-10-11,1500.0,2017-10,2017
134,Product_0122,Whse_A,Category_021,2017-10-11,350.0,2017-10,2017
135,Product_0123,Whse_A,Category_021,2017-10-11,2800.0,2017-10,2017
136,Product_2168,Whse_A,Category_024,2017-03-22,9.0,2017-03,2017
137,Product_2168,Whse_A,Category_024,2017-06-14,4.0,2017-06,2017
138,Product_1093,Whse_A,Category_024,2017-06-22,28.0,2017-06,2017
139,Product_1094,Whse_A,Category_024,2017-06-22,31.0,2017-06,2017
140,Product_1645,Whse_A,Category_024,2017-11-01,2.0,2017-11,2017
141,Product_0311,Whse_A,Category_024,2017-11-02,10.0,2017-11,2017
142,Product_0320,Whse_A,Category_024,2017-11-29,500.0,2017-11,2017
143,Product_1107,Whse_A,Category_006,2017-02-02,100.0,2017-02,2017
144,Product_1107,Whse_A,Category_006,2017-02-03,300.0,2017-02,2017
145,Product_1107,Whse_A,Category_006,2017-02-15,200.0,2017-02,2017
146,Product_1107,Whse_A,Category_006,2017-03-22,100.0,2017-03,2017
